,age,pulse,systolic_bp,diastolic_bp,spo2,respiratory_rate,mortality_binary,icu_binary
age,1.0,-0.2185559799908284,0.31457071779045237,0.12717403316858264,-0.02966894358742102,0.00041310976535265613,0.1624287279369862,0.1082981962687082
pulse,-0.2185559799908284,1.0,0.03332482337861965,0.2109814930920208,0.2515512629469542,-0.11253175308868031,-0.30244071561610664,-0.1310582204331308
systolic_bp,0.31457071779045237,0.03332482337861965,1.0,0.6117569979451181,0.2884695588760077,0.031621117227992546,-0.39104258985958323,-0.41053200186765815
diastolic_bp,0.12717403316858264,0.2109814930920208,0.6117569979451181,1.0,0.06774870045455197,0.06263458364863657,-0.35470993077928764,-0.356524228387873
spo2,-0.02966894358742102,0.2515512629469542,0.2884695588760077,0.06774870045455197,1.0,0.050765692980959565,-0.28749445424997183,-0.41403933560541284
respiratory_rate,0.00041310976535265613,-0.11253175308868031,0.031621117227992546,0.06263458364863657,0.050765692980959565,1.0,0.006306418912794917,0.14077535966557292
mortality_binary,0.1624287279369862,-0.30244071561610664,-0.39104258985958323,-0.35470993077928764,-0.28749445424997183,0.006306418912794917,1.0,0.6943650748294136
icu_binary,0.1082981962687082,-0.1310582204331308,-0.41053200186765815,-0.356524228387873,-0.41403933560541284,0.14077535966557292,0.6943650748294136,1.0
